gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
Waterland,1438.0,150.0,800.0,,808.0,1.0,4.0,4.0,1706.0,6.0,2143.0,14.0,136.0,12.0,844.0,16.0,69.0,2875.0,VVD
Weert,4119.0,182.0,1393.0,,1163.0,3.0,23.0,3.0,6404.0,4.0,4092.0,74.0,280.0,18.0,3600.0,8.0,219.0,6186.0,PVV
Weesp,999.0,135.0,910.0,,880.0,,10.0,4.0,1400.0,3.0,2360.0,28.0,138.0,12.0,999.0,31.0,89.0,2426.0,VVD
Werkendam,3559.0,1064.0,449.0,,447.0,2.0,5.0,6.0,2582.0,3.0,1756.0,29.0,100.0,3.0,1224.0,1632.0,88.0,2613.0,CDA
Wervershoof,1145.0,48.0,287.0,,253.0,1.0,9.0,3.0,838.0,,628.0,24.0,58.0,7.0,473.0,2.0,48.0,1293.0,VVD
West Maas en Waal,2191.0,54.0,526.0,,491.0,4.0,12.0,,2098.0,2.0,1680.0,21.0,108.0,8.0,1399.0,7.0,69.0,2546.0,VVD
Westerveld,1610.0,252.0,683.0,,893.0,1.0,8.0,2.0,1396.0,1.0,3284.0,58.0,175.0,5.0,993.0,48.0,48.0,3259.0,PVDA
Westervoort,1035.0,166.0,482.0,1.0,619.0,2.0,11.0,,1590.0,3.0,1854.0,34.0,127.0,7.0,1314.0,12.0,33.0,1513.0,PVDA
Westland,13636.0,1869.0,2659.0,,2091.0,5.0,70.0,7.0,11228.0,11.0,5349.0,179.0,565.0,47.0,3447.0,806.0,401.0,17386.0,VVD
Weststellingwerf,2186.0,373.0,614.0,2.0,938.0,,11.0,4.0,2119.0,4.0,3813.0,52.0,209.0,9.0,1667.0,39.0,89.0,3080.0,PVDA
Westvoorne,962.0,108.0,490.0,,364.0,1.0,8.0,1.0,1579.0,,1215.0,26.0,134.0,9.0,624.0,43.0,51.0,3257.0,VVD
Wierden,4822.0,1168.0,567.0,,393.0,1.0,9.0,,1937.0,2.0,1544.0,32.0,86.0,14.0,874.0,364.0,69.0,2776.0,CDA
Wieringen,398.0,57.0,216.0,,254.0,3.0,2.0,1.0,1058.0,2.0,979.0,16.0,81.0,6.0,514.0,6.0,37.0,1420.0,VVD
Wieringermeer,1308.0,257.0,335.0,10.0,304.0,2.0,6.0,3.0,1227.0,5.0,1068.0,18.0,79.0,6.0,641.0,39.0,79.0,1940.0,VVD
Wijchen,3995.0,186.0,1628.0,,1406.0,6.0,73.0,2.0,4106.0,4.0,4173.0,32.0,224.0,20.0,3253.0,13.0,130.0,4801.0,VVD
Wijdemeren,2146.0,277.0,1184.0,,839.0,,4.0,2.0,1923.0,1.0,2049.0,49.0,185.0,14.0,949.0,77.0,89.0,4895.0,VVD
Wijk bij Duurstede,1798.0,352.0,966.0,,929.0,3.0,9.0,4.0,2150.0,2.0,2199.0,49.0,164.0,6.0,1436.0,301.0,53.0,3574.0,VVD
Winsum,1433.0,827.0,433.0,3.0,818.0,,5.0,2.0,657.0,,2429.0,32.0,111.0,11.0,865.0,64.0,22.0,1068.0,PVDA
Winterswijk,2274.0,322.0,865.0,2.0,851.0,4.0,14.0,5.0,1901.0,3.0,4113.0,58.0,154.0,5.0,2132.0,24.0,83.0,3971.0,PVDA
Woensdrecht,1837.0,78.0,504.0,,483.0,1.0,10.0,5.0,2752.0,3.0,1604.0,27.0,174.0,14.0,1275.0,9.0,199.0,2691.0,PVV
Woerden,5380.0,1728.0,2300.0,,1759.0,4.0,25.0,8.0,3614.0,3.0,4309.0,74.0,298.0,23.0,2040.0,924.0,178.0,7223.0,VVD
